Date,Open,High,Low,Close,Adj Close,Volume
2018-05-08,1250.000000,1460.000000,1200.000000,1460.000000,1428.564575,74480800
2018-05-09,1500.000000,1540.000000,1460.000000,1470.000000,1438.349243,22920200
2018-05-10,null,null,null,null,null,null
2018-05-11,1470.000000,1515.000000,1470.000000,1510.000000,1477.488037,43286000
2018-05-14,1510.000000,1515.000000,1495.000000,1505.000000,1472.595703,16091400
2018-05-15,1505.000000,1505.000000,1505.000000,1505.000000,1472.595703,0
2018-05-16,1505.000000,1505.000000,1505.000000,1505.000000,1472.595703,0
2018-05-17,1515.000000,1585.000000,1515.000000,1580.000000,1545.980835,69931400
2018-05-18,1580.000000,1590.000000,1580.000000,1580.000000,1545.980835,15817100
2018-05-21,1580.000000,1585.000000,1570.000000,1580.000000,1545.980835,12665700
2018-05-22,1580.000000,1600.000000,1580.000000,1590.000000,1555.765503,16716800
2018-05-23,1590.000000,1600.000000,1590.000000,1595.000000,1560.657837,23964500
2018-05-24,1595.000000,1595.000000,1585.000000,1590.000000,1555.765503,17099900
2018-05-25,1590.000000,1590.000000,1580.000000,1585.000000,1550.873169,9364400
2018-05-28,1585.000000,1600.000000,1585.000000,1595.000000,1560.657837,22885700
2018-05-29,1595.000000,1595.000000,1595.000000,1595.000000,1560.657837,0
2018-05-30,1590.000000,1590.000000,1570.000000,1570.000000,1536.196167,19846500
2018-05-31,1570.000000,1570.000000,1550.000000,1550.000000,1516.626831,13292200
2018-06-01,1550.000000,1550.000000,1550.000000,1550.000000,1516.626831,0
2018-06-04,1550.000000,1560.000000,1550.000000,1560.000000,1526.411499,9721900
2018-06-05,1560.000000,1560.000000,1540.000000,1545.000000,1511.734497,12678900
2018-06-06,1545.000000,1545.000000,1525.000000,1525.000000,1492.165039,12060200
2018-06-07,1530.000000,1530.000000,1500.000000,1505.000000,1472.595703,16103800
2018-06-08,1505.000000,1510.000000,1500.000000,1505.000000,1472.595703,9214200
2018-06-11,1505.000000,1505.000000,1505.000000,1505.000000,1472.595703,0
2018-06-12,1505.000000,1505.000000,1505.000000,1505.000000,1472.595703,0
2018-06-13,1505.000000,1505.000000,1505.000000,1505.000000,1472.595703,0
2018-06-14,1505.000000,1505.000000,1505.000000,1505.000000,1472.595703,0
2018-06-15,1505.000000,1505.000000,1505.000000,1505.000000,1472.595703,0
2018-06-18,1505.000000,1505.000000,1505.000000,1505.000000,1472.595703,0
2018-06-19,1505.000000,1505.000000,1505.000000,1505.000000,1472.595703,0
2018-06-20,1520.000000,1570.000000,1520.000000,1550.000000,1516.626831,34766300
2018-06-21,1555.000000,1575.000000,1555.000000,1560.000000,1526.411499,68818300
2018-06-22,1565.000000,1575.000000,1560.000000,1570.000000,1536.196167,74405400
2018-06-25,1570.000000,1585.000000,1570.000000,1570.000000,1536.196167,75461700
2018-06-26,1570.000000,1575.000000,1560.000000,1570.000000,1536.196167,15658300
2018-06-27,1570.000000,1575.000000,1570.000000,1575.000000,1541.088501,12599600
2018-06-28,1575.000000,1585.000000,1570.000000,1585.000000,1550.873169,38934100
2018-06-29,1585.000000,1595.000000,1585.000000,1585.000000,1550.873169,17237900
2018-07-02,1585.000000,1590.000000,1580.000000,1585.000000,1550.873169,7156900
2018-07-03,1585.000000,1585.000000,1580.000000,1585.000000,1550.873169,8054200
2018-07-04,1585.000000,1590.000000,1580.000000,1585.000000,1550.873169,22347300
2018-07-05,1585.000000,1590.000000,1580.000000,1580.000000,1545.980835,33188300
2018-07-06,1585.000000,1590.000000,1580.000000,1580.000000,1545.980835,38814900
2018-07-09,1585.000000,1590.000000,1580.000000,1585.000000,1550.873169,39453600
2018-07-10,1585.000000,1590.000000,1580.000000,1590.000000,1555.765503,57329000
2018-07-11,1585.000000,1585.000000,1580.000000,1580.000000,1545.980835,19606200
2018-07-12,1585.000000,1595.000000,1580.000000,1590.000000,1555.765503,41780300
2018-07-13,1590.000000,1595.000000,1580.000000,1580.000000,1545.980835,58047500
2018-07-16,1585.000000,1590.000000,1580.000000,1580.000000,1545.980835,22499800
2018-07-17,1585.000000,1620.000000,1580.000000,1620.000000,1585.119629,97362300
2018-07-18,1620.000000,1635.000000,1615.000000,1625.000000,1590.011963,56958200
2018-07-19,1625.000000,1630.000000,1610.000000,1620.000000,1585.119629,33452400
2018-07-20,1620.000000,1625.000000,1610.000000,1620.000000,1585.119629,33468200
2018-07-23,1620.000000,1625.000000,1615.000000,1620.000000,1585.119629,28082000
2018-07-24,1620.000000,1625.000000,1615.000000,1620.000000,1585.119629,20944300
2018-07-25,1620.000000,1625.000000,1605.000000,1610.000000,1575.334961,36699900
2018-07-26,1610.000000,1625.000000,1610.000000,1615.000000,1580.227295,30508200
2018-07-27,1615.000000,1625.000000,1610.000000,1620.000000,1585.119629,41807300
2018-07-30,1620.000000,1625.000000,1610.000000,1615.000000,1580.227295,29190500
2018-07-31,1615.000000,1620.000000,1610.000000,1615.000000,1580.227295,21428800
2018-08-01,1615.000000,1625.000000,1610.000000,1615.000000,1580.227295,21089900
2018-08-02,1615.000000,1630.000000,1610.000000,1620.000000,1585.119629,15328000
2018-08-03,1620.000000,1625.000000,1615.000000,1620.000000,1585.119629,9911600
2018-08-06,1620.000000,1630.000000,1615.000000,1625.000000,1590.011963,20676500
2018-08-07,1625.000000,1630.000000,1620.000000,1625.000000,1590.011963,23874400
2018-08-08,1625.000000,1630.000000,1620.000000,1625.000000,1590.011963,26769200
2018-08-09,1625.000000,1635.000000,1620.000000,1625.000000,1590.011963,36217700
2018-08-10,1625.000000,1630.000000,1620.000000,1625.000000,1590.011963,18298400
2018-08-13,1625.000000,1625.000000,1590.000000,1610.000000,1575.334961,35347600
2018-08-14,1610.000000,1615.000000,1600.000000,1605.000000,1570.442627,8710600
2018-08-15,1605.000000,1605.000000,1585.000000,1585.000000,1550.873169,8151100
2018-08-16,1585.000000,1585.000000,1575.000000,1580.000000,1545.980835,2990500
2018-08-17,1580.000000,1580.000000,1580.000000,1580.000000,1545.980835,0
2018-08-20,1580.000000,1605.000000,1575.000000,1600.000000,1565.550293,21391900
2018-08-21,1600.000000,1610.000000,1595.000000,1605.000000,1570.442627,17543800
2018-08-22,1605.000000,1605.000000,1605.000000,1605.000000,1570.442627,0
2018-08-23,1605.000000,1625.000000,1600.000000,1625.000000,1590.011963,31541700
2018-08-24,1625.000000,1635.000000,1620.000000,1635.000000,1599.796631,27947800
2018-08-27,1630.000000,1635.000000,1625.000000,1635.000000,1599.796631,16931200
2018-08-28,1640.000000,1640.000000,1620.000000,1625.000000,1590.011963,12604300
2018-08-29,1625.000000,1635.000000,1620.000000,1625.000000,1590.011963,21452100
2018-08-30,1625.000000,1635.000000,1620.000000,1630.000000,1594.904297,17533500
2018-08-31,1630.000000,1635.000000,1625.000000,1630.000000,1594.904297,11519000
2018-09-03,1630.000000,1635.000000,1625.000000,1630.000000,1594.904297,15282600
