Date,Open,High,Low,Close,Adj Close,Volume
2004-06-08,875.000000,900.000000,875.000000,887.500000,553.706055,99830000
2004-06-09,887.500000,912.500000,875.000000,900.000000,561.505005,58858000
2004-06-10,900.000000,900.000000,887.500000,900.000000,561.505005,33118000
2004-06-11,887.500000,900.000000,887.500000,900.000000,561.505005,27166000
2004-06-14,900.000000,900.000000,875.000000,887.500000,553.706055,31708000
2004-06-15,875.000000,912.500000,875.000000,912.500000,569.303528,59524000
2004-06-16,912.500000,912.500000,887.500000,900.000000,561.505005,20854000
2004-06-17,887.500000,887.500000,875.000000,887.500000,553.706055,70030000
2004-06-18,875.000000,887.500000,875.000000,887.500000,553.706055,52652000
2004-06-21,887.500000,887.500000,875.000000,887.500000,553.706055,66374000
2004-06-22,887.500000,900.000000,887.500000,887.500000,553.706055,11374000
2004-06-23,900.000000,900.000000,887.500000,900.000000,561.505005,93838000
2004-06-24,900.000000,900.000000,887.500000,900.000000,561.505005,38262000
2004-06-25,900.000000,912.500000,900.000000,912.500000,569.303528,30862000
2004-06-28,912.500000,912.500000,900.000000,912.500000,569.303528,52172000
2004-06-29,912.500000,925.000000,912.500000,925.000000,577.102173,24612000
2004-06-30,925.000000,937.500000,912.500000,937.500000,584.900818,58252000
2004-07-01,900.000000,900.000000,875.000000,887.500000,629.211609,40618000
2004-07-02,887.500000,900.000000,887.500000,900.000000,638.073608,98160000
2004-07-05,900.000000,900.000000,900.000000,900.000000,638.073608,0
2004-07-06,912.500000,937.500000,900.000000,937.500000,664.659973,165322000
2004-07-07,925.000000,950.000000,912.500000,937.500000,664.659973,76514000
2004-07-08,937.500000,950.000000,925.000000,937.500000,664.659973,56948000
2004-07-09,925.000000,950.000000,925.000000,950.000000,673.522095,76228000
2004-07-12,950.000000,975.000000,937.500000,950.000000,673.522095,95682000
2004-07-13,950.000000,962.500000,937.500000,962.500000,682.384521,26684000
2004-07-14,950.000000,950.000000,925.000000,937.500000,664.659973,48684000
2004-07-15,925.000000,937.500000,912.500000,937.500000,664.659973,26978000
2004-07-16,925.000000,950.000000,925.000000,950.000000,673.522095,28124000
2004-07-19,937.500000,950.000000,937.500000,950.000000,673.522095,8788000
2004-07-20,937.500000,950.000000,937.500000,950.000000,673.522095,33778000
2004-07-21,937.500000,950.000000,937.500000,950.000000,673.522095,32484000
2004-07-22,937.500000,950.000000,937.500000,950.000000,673.522095,12346000
2004-07-23,937.500000,950.000000,937.500000,950.000000,673.522095,3134000
2004-07-26,937.500000,937.500000,912.500000,937.500000,664.659973,103530000
2004-07-27,925.000000,937.500000,912.500000,937.500000,664.659973,50800000
2004-07-28,937.500000,937.500000,925.000000,937.500000,664.659973,34504000
2004-07-29,937.500000,937.500000,925.000000,937.500000,664.659973,11590000
2004-07-30,937.500000,937.500000,925.000000,937.500000,664.659973,44822000
2004-08-02,925.000000,937.500000,925.000000,925.000000,655.797913,5402000
2004-08-03,925.000000,950.000000,925.000000,937.500000,664.659973,65200000
2004-08-04,937.500000,950.000000,937.500000,950.000000,673.522095,50932000
2004-08-05,937.500000,950.000000,937.500000,950.000000,673.522095,26666000
2004-08-06,937.500000,950.000000,937.500000,937.500000,664.659973,25268000
2004-08-09,925.000000,925.000000,900.000000,912.500000,646.935791,72932000
2004-08-10,912.500000,912.500000,912.500000,912.500000,646.935791,21600000
2004-08-11,925.000000,925.000000,925.000000,925.000000,655.797913,28808000
2004-08-12,925.000000,925.000000,912.500000,912.500000,646.935791,2620000
2004-08-13,912.500000,925.000000,912.500000,912.500000,646.935791,22654000
2004-08-16,912.500000,912.500000,900.000000,900.000000,638.073608,28690000
2004-08-17,900.000000,900.000000,900.000000,900.000000,638.073608,0
2004-08-18,912.500000,925.000000,912.500000,925.000000,655.797913,47214000
2004-08-19,925.000000,925.000000,912.500000,925.000000,655.797913,10894000
2004-08-20,912.500000,925.000000,912.500000,912.500000,646.935791,1268000
2004-08-23,912.500000,925.000000,912.500000,912.500000,646.935791,6954000
2004-08-24,912.500000,912.500000,900.000000,912.500000,646.935791,68782000
2004-08-25,912.500000,912.500000,887.500000,900.000000,638.073608,4102000
2004-08-26,887.500000,900.000000,887.500000,900.000000,638.073608,5330000
2004-08-27,900.000000,912.500000,900.000000,912.500000,646.935791,30592000
2004-08-30,900.000000,900.000000,887.500000,887.500000,629.211609,43456000
2004-08-31,900.000000,912.500000,900.000000,900.000000,638.073608,48366000
2004-09-01,900.000000,937.500000,900.000000,937.500000,664.659973,157100000
2004-09-02,937.500000,950.000000,925.000000,937.500000,664.659973,125090000
2004-09-03,937.500000,962.500000,937.500000,950.000000,673.522095,76002000
2004-09-06,950.000000,962.500000,937.500000,937.500000,664.659973,60130000
2004-09-07,937.500000,937.500000,925.000000,925.000000,655.797913,76032000
2004-09-08,925.000000,950.000000,925.000000,950.000000,673.522095,29752000
2004-09-09,937.500000,937.500000,900.000000,925.000000,655.797913,224952000
2004-09-10,925.000000,950.000000,912.500000,937.500000,664.659973,161518000
2004-09-13,937.500000,937.500000,937.500000,937.500000,664.659973,0
2004-09-14,950.000000,1000.000000,950.000000,987.500000,700.108643,306410000
2004-09-15,987.500000,1025.000000,975.000000,1012.500000,717.833008,317600000
2004-09-16,1000.000000,1000.000000,987.500000,1000.000000,708.970886,41724000
2004-09-17,987.500000,1000.000000,962.500000,1000.000000,708.970886,60590000
2004-09-20,1000.000000,1000.000000,1000.000000,1000.000000,708.970886,0
2004-09-21,1012.500000,1050.000000,1012.500000,1037.500000,735.557129,380320000
2004-09-22,1037.500000,1037.500000,1012.500000,1025.000000,726.695190,42080000
2004-09-23,1012.500000,1037.500000,1012.500000,1025.000000,726.695190,124728000
2004-09-24,1012.500000,1025.000000,1012.500000,1025.000000,726.695190,2096000
2004-09-27,1012.500000,1025.000000,987.500000,1000.000000,708.970886,34916000
2004-09-28,1000.000000,1000.000000,987.500000,987.500000,700.108643,66356000
2004-09-29,987.500000,1000.000000,987.500000,1000.000000,708.970886,48854000
2004-09-30,1000.000000,1012.500000,987.500000,1000.000000,708.970886,54138000
2004-10-01,1000.000000,1012.500000,1000.000000,1012.500000,717.833008,89512000
2004-10-04,1012.500000,1062.500000,1012.500000,1062.500000,753.281555,250318000
2004-10-05,1050.000000,1150.000000,1050.000000,1150.000000,815.316467,299320000
2004-10-06,1150.000000,1150.000000,1112.500000,1137.500000,806.454346,54016000
2004-10-07,1125.000000,1125.000000,1087.500000,1125.000000,797.591980,82412000
2004-10-08,1112.500000,1137.500000,1112.500000,1125.000000,797.591980,57790000
2004-10-11,1125.000000,1150.000000,1112.500000,1137.500000,806.454346,70024000
2004-10-12,1137.500000,1137.500000,1100.000000,1112.500000,788.729919,64582000
2004-10-13,1125.000000,1137.500000,1112.500000,1125.000000,797.591980,33600000
2004-10-14,1125.000000,1137.500000,1112.500000,1125.000000,797.591980,61096000
2004-10-15,1112.500000,1137.500000,1112.500000,1137.500000,806.454346,60390000
2004-10-18,1137.500000,1137.500000,1125.000000,1137.500000,806.454346,27510000
2004-10-19,1137.500000,1137.500000,1112.500000,1112.500000,788.729919,82434000
2004-10-20,1112.500000,1125.000000,1087.500000,1112.500000,788.729919,54750000
2004-10-21,1112.500000,1112.500000,1087.500000,1100.000000,779.867859,34196000
2004-10-22,1100.000000,1137.500000,1100.000000,1125.000000,797.591980,43970000
2004-10-25,1125.000000,1137.500000,1112.500000,1137.500000,806.454346,7216000
2004-10-26,1137.500000,1150.000000,1125.000000,1150.000000,815.316467,19052000
2004-10-27,1150.000000,1212.500000,1150.000000,1200.000000,850.764648,133668000
2004-10-28,1212.500000,1212.500000,1175.000000,1200.000000,850.764648,55410000
2004-10-29,1200.000000,1200.000000,1187.500000,1200.000000,850.764648,25268000
